Feature,RF_Importance,MI_Score,RF_Norm,MI_Norm,Combined_Score
addr_state_WV,3.3446084381693417e-05,0.001300963943088762,6.987649740898689e-05,0.0023091984182996403,0.0011895374578543135
purpose_major_purchase,0.00033938523906386884,0.0008550487881240354,0.0007090531587331391,0.001517703330360734,0.0011133782445469365
addr_state_AR,7.88693626743671e-05,0.0011433411128118909,0.00016477608420973627,0.0020294194188147717,0.001097097751512254
addr_state_AL,0.00019059343203018915,0.0009486139753946965,0.00039819314295328953,0.0016837806329647916,0.0010409868879590405
addr_state_VT,2.381269723449596e-05,0.0008594817764302487,4.975015483480636e-05,0.0015255718417360338,0.0007876609982854201
addr_state_AZ,3.385415641215564e-05,0.0008127638035773099,7.072905293847306e-05,0.0014426478916978495,0.0007566884723181613
addr_state_MA,0.00011866532640329779,0.0007125391601994213,0.0002479189276187789,0.0012647501189022544,0.0007563345232605166
addr_state_KS,5.352596547102647e-05,0.0007670512970896493,0.00011182794807504853,0.0013615086347348946,0.0007366682914049716
addr_state_WY,2.1736998843489846e-05,0.0007584511898286461,4.541354754811407e-05,0.0013462435275120414,0.0006958285375300777
addr_state_NJ,3.732135897003611e-05,0.000729136467730207,7.797282975214323e-05,0.0012942101792688223,0.0006860915045104828
addr_state_SC,0.00012056283152079034,0.0005700475588101828,0.00025188324852142485,0.0010118289043697449,0.0006318560764455849
addr_state_WI,2.6036205843036368e-05,0.0006682105741553368,5.4395571372969964e-05,0.0011860673073437519,0.000620231439358361
purpose_wedding,1.6297068104640068e-05,0.0005843470756361491,3.404829169812394e-05,0.001037210408455533,0.0005356293500768285
addr_state_VA,3.9762252537551556e-05,0.0005061058285873443,8.307241304266026e-05,0.0008983329515585095,0.0004907026823005848
purpose_moving,0.00010948877052193671,0.0002906556107860059,0.00022874700973596918,0.0005159108984246209,0.000372328954080295
addr_state_FL,8.31178465596705e-05,0.0002883353462124205,0.00017365213588190203,0.0005117924512441102,0.0003427222935630061
purpose_educational,2.965484229597235e-05,0.0003274450974055654,6.195572812680651e-05,0.0005812118814097784,0.00032158380476829244
addr_state_SD,3.5455466623093984e-05,0.00026826434360294193,7.407455513623891e-05,0.0004761666157044594,0.00027512058542034914
addr_state_CO,8.088453746307109e-05,0.00018998397294534008,0.00016898624388925331,0.0003372197147801572,0.00025310297933470524
addr_state_PA,3.6358546891132525e-05,0.00016552695283666985,7.59612957570406e-05,0.0002938087405934494,0.000184885018175245
addr_state_NY,0.0001416527308351002,0.0,0.0002959448575867534,0.0,0.0001479724287933767
addr_state_MN,0.00011516072723858131,0.0,0.00024059702076540483,0.0,0.00012029851038270242
purpose_medical,0.00010359879332150722,0.0,0.00021644150419792554,0.0,0.00010822075209896277
addr_state_OR,3.511945255052519e-05,4.326426939327277e-05,7.337254511308392e-05,7.67936597955495e-05,7.508310245431672e-05
addr_state_OK,3.2232437304460255e-05,3.8383222603632916e-05,6.734091190128167e-05,6.812984894501782e-05,6.773538042314974e-05
purpose_house,5.8382206360377616e-05,0.0,0.00012197374272322254,0.0,6.098687136161127e-05
addr_state_IL,5.704079669310825e-05,0.0,0.00011917123202960477,0.0,5.9585616014802387e-05
addr_state_LA,5.3296920287475145e-05,0.0,0.00011134942045452607,0.0,5.567471022726304e-05
addr_state_HI,5.181683892983516e-05,0.0,0.00010825719297665639,0.0,5.4128596488328193e-05
addr_state_TN,4.622957900661196e-05,0.0,9.658413286316411e-05,0.0,4.8292066431582055e-05
purpose_renewable_energy,4.223689412113364e-05,0.0,8.824250363472942e-05,0.0,4.412125181736471e-05
addr_state_UT,4.052681436888242e-05,0.0,8.466975706106031e-05,0.0,4.2334878530530155e-05
addr_state_MI,3.6372568590349476e-05,0.0,7.599059028425107e-05,0.0,3.7995295142125533e-05
addr_state_NM,3.5350743806710795e-05,0.0,7.385576529153987e-05,0.0,3.6927882645769937e-05
addr_state_MS,3.4741757523545375e-05,0.0,7.258345407112661e-05,0.0,3.6291727035563306e-05
addr_state_NC,3.439474971411649e-05,0.0,7.185847562462936e-05,0.0,3.592923781231468e-05
addr_state_DC,3.328828305520268e-05,0.0,6.954681445250604e-05,0.0,3.477340722625302e-05
addr_state_NE,2.994762567552529e-05,0.0,6.256741937380711e-05,0.0,3.1283709686903555e-05
addr_state_ID,2.9892041220740923e-05,0.0,6.245129077213302e-05,0.0,3.122564538606651e-05
addr_state_WA,2.2094489206751696e-05,0.0,4.616042644003833e-05,0.0,2.3080213220019165e-05
addr_state_MT,2.1514810253804034e-05,0.0,4.49493449157729e-05,0.0,2.247467245788645e-05
addr_state_NV,2.1243116324798064e-05,0.0,4.4381714340260305e-05,0.0,2.2190857170130152e-05
addr_state_ND,2.1088829791598103e-05,0.0,4.405937458848687e-05,0.0,2.2029687294243435e-05
addr_state_ME,1.6200080023059777e-05,0.0,3.3845661478278014e-05,0.0,1.6922830739139007e-05
addr_state_NH,1.4364116442328144e-05,0.0,3.0009914880024268e-05,0.0,1.5004957440012134e-05
addr_state_RI,1.268565482144367e-05,0.0,2.650322579306456e-05,0.0,1.325161289653228e-05
addr_state_DE,8.07535229628512e-06,0.0,1.6871252472139262e-05,0.0,8.435626236069631e-06
addr_state_IA,0.0,0.0,0.0,0.0,0.0
